PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
#1 CHOKEE,0,43.75,45.83,0,0,0,0,0,0,0,0,100,0,100,0,0,64.23,70.49,0,69.44,60.00,64.39
#10 REDBONE,33.33,34.48,25.77,0,63.64,63.64,0,66.67,50,0,47.83,27.78,0,47.62,42.86,100,61.65,61.72,100,73.04,56.76,59.48
#2 SMITHVILLE,0,38.89,32.14,0,100,0,0,0,0,0,100,100,0,0,0,0,64.02,66.4,0,60,49.11,59.6
#3 CJC,0,69.23,26.67,0,0,33.33,0,0,0,0,25,0,0,42.86,0,0,68.59,68.98,0,70,52.94,66.46
#4 LEESBURG,0,39.66,24.35,0,14.29,37.5,0,0,33.33,0,27.78,15.79,100,55.56,50,50,59.48,59.87,0,59.81,44.24,55.89
#5 FRIENDSHIP BAPT.,0,23.64,29.63,0,50,0,0,0,50,0,42.86,50,0,20,33.33,100,59.78,59.3,0,67.19,60.94,56.73
#6 FIRST BAPTIST,40,41.72,39.87,0,61.54,26.32,0,50,0,0,37.04,44.44,0,39.53,40.82,50,67.47,66.84,0,72.32,67.21,64.4
#7 SDA CHURCH,100,56,41.46,0,42.86,20,0,0,0,0,12.5,40,0,52.94,46.67,100,69.58,67.55,0,74.51,72.22,66.31
#8 SOVEREIGN GRACE,0,30.61,26.36,0,50,27.27,0,25,0,0,50,45,0,23.08,31.25,0,55.92,55.49,0,61.42,45.41,52.72
#9 CENTURY FIRE STAT,0,31.25,28.38,0,50,40,0,50,75,0,41.67,18.18,0,33.33,21.74,0,59.9,60.59,0,58.09,50.17,55.61
TOTAL,33.33,37.11,30.24,0.0,52.38,35.44,,41.67,50.0,,39.13,32.41,100.0,40.28,37.4,40.0,62.09,62.23,8.33,64.51,54.34,58.95
