,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,57.45,42.5,0.0
1,OTHER,40.0,57.14,0.0
2,NATIVE AMERICAN,0.0,0.0,0.0
3,LATINO,50.0,50.0,0.0
4,ASIAN-PACIFIC,50.0,37.5,0.0
5,WHITE,67.09,70.69,0.0
6,BLACK,19.35,58.33,0.0
