,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,27.49,41.62,0.0
1,OTHER,42.42,27.27,0.0
2,NATIVE AMERICAN,100.0,25.0,0.0
3,LATINO,17.07,24.19,0.0
4,ASIAN-PACIFIC,12.0,41.18,0.0
5,WHITE,20.88,31.25,0.0
6,BLACK,50.22,60.72,50.0
