,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,37.0,53.68,0.0
1,OTHER,60.0,68.75,0.0
2,NATIVE AMERICAN,0.0,100.0,0.0
3,LATINO,66.67,75.0,0.0
4,ASIAN-PACIFIC,66.67,100.0,0.0
5,WHITE,68.92,70.0,0.0
6,BLACK,48.04,61.24,0.0
