,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,48.92,42.61,0.0
1,OTHER,64.71,42.5,0.0
2,NATIVE AMERICAN,100.0,0.0,0.0
3,LATINO,54.55,52.63,0.0
4,ASIAN-PACIFIC,47.2,44.74,100.0
5,WHITE,57.38,56.82,33.33
6,BLACK,54.23,66.5,0.0
