,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,20.7,39.65,0.0
1,OTHER,37.1,49.43,0.0
2,NATIVE AMERICAN,33.33,28.57,0.0
3,LATINO,36.13,45.18,0.0
4,ASIAN-PACIFIC,32.58,48.96,0.0
5,WHITE,51.88,53.37,50.0
6,BLACK,44.6,60.89,50.0
