,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,34.64,55.77,0.0
1,OTHER,52.94,56.0,0.0
2,NATIVE AMERICAN,0.0,0.0,0.0
3,LATINO,47.62,46.67,0.0
4,ASIAN-PACIFIC,50.0,58.7,0.0
5,WHITE,64.85,63.17,100.0
6,BLACK,49.45,63.8,0.0
