PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
RICEBORO YOUTH,27.51,32.87,0.00,30.46
LYMAN HALL SCHOOL,17.04,15.60,0.00,16.19
LEWIS FRASIER SCHOOL,23.10,21.39,0.00,22.15
MEMORIAL DR. EAST,15.39,13.41,0.00,14.17
BUTTON GWINNETT,2.23,2.01,0.00,2.10
TOWN OF ALLENHURST,19.40,22.04,0.00,20.87
HINESVILLE,22.95,22.80,0.00,22.85
LIBERTY COUNTY,28.31,28.90,0.00,28.62
WALTHOURVILLE,14.92,15.03,0.00,14.98
FLEMING WEST,24.89,26.37,0.00,25.66
FLEMING EAST,32.73,29.73,0.00,31.12
GUM BRANCH,23.35,20.83,0.00,21.97
88888,50.00,100.0,0.00,66.67
HINESVILLE LODGE 271,16.90,17.46,0.00,17.21
99999,0.00,0.00,0.00,0.00
TOTAL,20.38,19.49,0.00,19.87
