AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,6.630,0.00,0.00,0.00,14.58,0.00,10.98
25-29,0.00,6.920,0.00,0.00,0.00,15.20,0.00,11.34
30-34,0.00,8.870,0.00,0.00,0.00,16.74,8.330,13.66
35-39,0.00,13.45,0.00,0.00,100.0,23.50,12.50,20.00
40-44,0.00,13.00,0.00,0.00,0.00,24.73,40.00,21.56
45-49,20.00,16.19,50.00,0.00,0.00,29.93,16.67,26.18
50-54,0.00,23.03,66.67,0.00,0.00,36.36,14.29,32.08
55-59,0.00,22.16,100.0,0.00,0.00,37.97,20.00,32.05
60-64,0.00,20.95,0.00,0.00,0.00,40.80,0.00,34.19
65-OVER,50.00,23.92,0.00,0.00,40.00,33.66,31.58,31.67
TOTAL,10.00,16.55,20.00,0.00,17.65,29.62,12.39,25.41
