PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
ALEXANDER,33.92,37.89,0.00,36.01
FOUR POINTS,30.00,29.99,100.0,30.03
GIRARD,27.45,31.70,0.00,29.71
GOUGH,36.87,41.75,0.00,39.36
GREENSCUT,31.39,31.33,0.00,31.36
KEYSVILLE,22.55,29.46,0.00,26.17
MIDVILLE,39.61,38.22,0.00,38.89
MUNNERLYN,29.63,36.03,0.00,32.84
SARDIS,24.87,27.44,0.00,26.34
SCOTTS CROSSROADS,28.80,38.24,0.00,33.72
TELFAIR,27.03,31.21,0.00,29.11
ST. CLAIR,40.11,43.35,0.00,41.84
VIDETTE,34.72,47.65,0.00,41.30
NORTH WAYNESBORO,22.24,25.81,0.00,24.34
SOUTH WAYNESBORO,36.81,34.86,0.00,35.71
BLAKENEY,28.64,30.92,0.00,30.05
TOTAL,30.06,31.86,100.0,31.05
