AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,15.38,0.00,33.33,20.00,20.24,29.79,20.12
25-29,0.00,14.29,0.00,0.00,0.00,17.41,35.71,17.84
30-34,0.00,0.00,0.00,100.0,0.00,19.14,28.57,19.44
35-39,100.0,100.0,0.00,0.00,0.00,25.34,40.00,25.88
40-44,0.00,0.00,0.00,0.00,0.00,30.00,21.43,29.35
45-49,0.00,0.00,100.0,0.00,0.00,31.48,27.27,31.30
50-54,0.00,0.00,50.00,0.00,0.00,41.15,71.43,41.25
55-59,0.00,0.00,0.00,0.00,0.00,44.85,34.78,44.37
60-64,0.00,33.33,100.0,0.00,0.00,49.94,45.83,49.82
65-OVER,0.00,25.00,100.0,0.00,66.67,51.06,65.33,51.28
TOTAL,4.170,16.95,24.00,33.33,21.43,40.69,44.44,40.45
