PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
AIR ACRES,39.70,37.85,0.00,38.73
ARNOLD MILL,43.81,42.83,0.00,43.30
AVERY,44.25,44.92,0.00,44.59
BALL GROUND,44.82,41.95,0.00,43.31
BASCOMB,38.93,41.29,0.00,40.18
BELLS,33.80,34.70,66.67,34.29
BOOTH,38.15,40.57,0.00,39.38
BRADSHAW,46.72,47.43,100.0,47.12
BRIDGEMILL,36.96,40.70,60.00,38.94
CANTON,35.34,35.36,0.00,35.35
CARMEL,30.88,31.70,50.00,31.34
WOODSTOCK,31.77,32.83,0.00,32.36
CLAYTON,40.97,38.30,0.00,39.58
CONNS CREEK,38.51,43.28,0.00,40.90
DEER RUN,39.23,39.85,0.00,39.56
DIXIE,30.13,30.80,0.00,30.48
FREEHOME,42.20,42.86,100.0,42.55
HICKORY FLAT,40.79,40.27,0.00,40.51
HIGHTOWER,44.13,42.34,0.00,43.20
HILLSIDE,42.63,46.22,100.0,44.48
HOLLY SPRINGS,34.73,34.23,0.00,34.45
KELLOGG,31.82,36.22,0.00,34.17
LIBERTY,30.48,30.60,50.00,30.56
LITTLE RIVER,35.73,36.74,100.0,36.30
MACEDONIA,44.81,42.91,0.00,43.82
MOUNTAIN ROAD,41.62,43.52,0.00,42.59
OAK GROVE,35.58,38.34,0.00,37.01
R M MOORE,43.79,39.73,0.00,41.71
R T JONES,31.85,31.89,0.00,31.87
ROSECREEK,46.09,47.27,66.67,46.72
SALACOA,39.34,39.32,0.00,39.33
SIXES,47.34,45.97,50.00,46.65
SUTALLEE,42.48,42.23,0.00,42.35
TEASLEY,35.55,36.67,50.00,36.15
TOONIGH,37.77,37.84,100.0,37.82
UNION HILL,48.30,47.49,0.00,47.87
UNIVETER,38.84,37.79,100.0,38.30
VICTORIA,39.30,38.35,0.00,38.81
WALESKA,45.56,43.90,0.00,44.71
WILDCAT,38.72,39.08,100.0,38.96
WOODLANDS,34.46,39.49,0.00,37.10
NEESE,34.74,36.15,66.67,35.51
88888,12.50,71.43,0.00,40.00
TOTAL,38.40,38.77,58.97,38.60
