PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
SYLVESTER,22.11,25.70,25.00,24.20
SCOOTERVILLE,38.74,36.47,0.00,37.60
MINTON,46.73,41.84,0.00,44.15
BRIDGEBORO,37.57,33.05,0.00,35.20
COUNTY LINE,33.74,29.07,0.00,31.21
ISABELLA,44.60,42.60,0.00,43.54
PINEY WOODS,35.61,31.37,0.00,33.33
SYLVESTER EAST,36.94,35.68,100.0,36.27
POULAN,34.31,33.90,0.00,34.10
SUMNER,37.25,33.16,0.00,35.09
SHINGLER,45.69,48.81,0.00,47.31
RED ROCK,34.62,30.83,0.00,32.65
DOLES,40.54,36.50,0.00,38.44
OAKFIELD,35.51,39.09,0.00,37.33
88888,inf00,100.0,0.00,200.0
WARWICK,35.00,34.17,0.00,34.56
99999,0.00,0.00,0.00,0.00
TOTAL,35.09,33.47,33.33,34.21
