AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,11.27,11.36,15.53,27.27,17.80,23.55,12.86,16.69
25-29,3.390,8.590,5.340,25.00,9.020,16.17,8.860,12.19
30-34,12.00,12.86,16.48,20.00,14.29,21.17,14.51,17.44
35-39,19.51,15.58,16.13,0.00,13.24,26.92,16.20,21.69
40-44,13.95,17.22,14.06,0.00,20.93,32.05,20.45,25.78
45-49,28.85,19.57,13.33,33.33,24.49,37.19,20.38,30.09
50-54,21.43,23.70,26.53,0.00,26.92,39.02,24.42,32.66
55-59,20.00,26.96,22.00,100.0,14.29,42.99,23.77,36.18
60-64,34.15,32.52,31.03,66.67,27.27,50.14,24.12,42.80
65-OVER,28.57,33.94,16.42,14.29,20.00,49.48,27.57,44.31
TOTAL,19.00,19.39,15.43,23.81,17.17,35.59,17.40,28.29
