PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
LAKELAND,25.44,23.95,25.00,24.61
SIRMANS,26.87,26.82,0.00,26.85
STOCKTON,29.39,31.60,0.00,30.55
WESTSIDE,21.14,17.48,0.00,19.07
88888,0.00,0.00,0.00,0.00
TOTAL,25.48,24.10,25.00,24.73
