AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,10.00,12.50,0.00,12.50,22.52,18.07,20.63
25-29,0.00,7.69,23.08,0.00,0.00,20.71,20.93,19.36
30-34,12.50,13.92,0.00,0.00,0.00,29.99,24.39,27.82
35-39,0.00,24.64,8.33,0.00,0.00,30.94,32.61,30.07
40-44,0.00,10.14,10.00,0.00,0.00,41.72,20.59,37.92
45-49,33.33,20.24,0.00,100.0,0.00,42.02,18.42,39.27
50-54,0.00,18.52,16.67,0.00,0.00,46.91,35.14,44.04
55-59,20.00,27.50,50.00,0.00,0.00,44.80,29.41,42.98
60-64,0.00,14.81,33.33,0.00,0.00,54.95,37.50,51.10
65-OVER,0.00,32.43,30.00,0.00,42.86,53.85,43.14,52.49
TOTAL,6.67,18.92,18.75,25.00,13.33,42.51,27.15,39.91
