PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
HAHIRA,15.00,25.00,15.91,0.00,35.71,37.34,26.14,34.89
TRINITY,18.52,23.90,13.76,25.00,17.51,30.89,17.26,26.94
NORTHSIDE,15.88,16.16,14.77,26.09,13.29,35.53,14.55,24.76
NAYLOR,0.00,31.60,13.33,0.00,40.00,44.83,19.70,38.64
RAINWATER,19.54,23.88,17.58,0.00,21.43,37.79,22.01,33.49
MILDRED,25.00,20.26,18.75,25.00,0.00,24.03,11.52,20.05
CLYATTVILLE,26.67,25.45,12.77,0.00,14.81,32.10,16.25,29.10
DASHER,53.33,30.21,17.65,0.00,6.67,39.34,20.52,36.97
S LOWNDES,36.36,18.15,25.81,100.0,29.03,37.89,20.66,34.32
TOTAL,19.00,19.37,15.43,23.81,17.03,35.57,17.36,28.26
