PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
01,37.52,39.60,53.33,38.63
02,33.14,30.72,100.0,31.86
03,38.08,36.98,25.00,37.51
04,40.22,38.72,0.00,39.43
05,38.72,38.94,83.33,38.90
06,38.96,39.28,50.00,39.13
07,35.14,34.59,33.33,34.81
08,42.23,42.19,11.11,42.17
10,38.38,38.10,34.62,38.23
15,39.71,37.96,33.33,38.79
16,37.80,38.21,54.55,38.03
19,35.04,35.93,50.00,35.50
21,36.67,36.73,44.44,36.71
25,37.38,36.63,60.00,37.02
27,40.35,40.10,50.00,40.23
29,37.12,37.66,31.82,37.39
88888,200.0,1200.0,0.00,700.0
TOTAL,38.03,37.96,41.33,37.99
