AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,4.61,0.00,100.0,0.00,24.22,8.33,13.79
25-29,0.00,2.78,0.00,0.00,0.00,16.91,8.33,9.98
30-34,0.00,6.64,0.00,0.00,0.00,26.24,0.00,15.75
35-39,0.00,8.81,0.00,0.00,0.00,31.68,23.08,20.39
40-44,0.00,18.24,25.00,0.00,0.00,28.23,12.50,23.66
45-49,0.00,18.13,0.00,0.00,0.00,40.66,23.08,31.32
50-54,0.00,18.71,0.00,0.00,0.00,38.65,11.11,30.82
55-59,0.00,22.87,0.00,0.00,0.00,45.23,14.29,35.98
60-64,0.00,26.59,0.00,0.00,0.00,53.43,33.33,42.89
65-OVER,0.00,30.03,20.00,0.00,0.00,50.22,33.33,44.20
TOTAL,0.00,15.94,6.90,33.33,0.00,39.04,15.04,29.19
