PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
WEST BERRIEN,44.64,39.74,0.00,42.20
RAY CITY,30.53,27.48,0.00,28.90
NASHVILLE,32.52,29.48,0.00,30.87
ENIGMA,33.56,29.81,0.00,31.53
ALAPAHA,37.79,35.46,0.00,36.53
99999,0.00,0.00,0.00,0.00
TOTAL,33.93,30.63,0.00,32.16
