PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
MCDONALD,0.00,16.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,2.00,0.00,0.00,0.00,0.00,334.0,306.0,0.00,1.00,0.00,681.0
SHUCK PEN,0.00,25.00,24.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,15.00,5.00,0.00,0.00,0.00,0.00,357.0,376.0,0.00,1.00,0.00,807.0
SOUTHWEST,0.00,16.00,16.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,1.00,0.00,0.00,0.00,1.00,343.0,369.0,0.00,1.00,0.00,750.0
SPRING PLACE,0.00,30.00,21.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,13.00,11.00,0.00,2.00,0.00,0.00,443.0,466.0,0.00,2.00,0.00,990.0
TOWN,0.00,41.00,50.00,0.00,3.00,3.00,0.00,1.00,0.00,0.00,9.00,14.00,0.00,2.00,1.00,0.00,873.0,855.0,0.00,2.00,0.00,1854.0
CARTERS-DOOLITTLE,0.00,14.00,19.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,1.00,0.00,0.00,254.0,287.0,0.00,0.00,0.00,582.0
NORTH,0.00,13.00,11.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,278.0,308.0,0.00,0.00,0.00,614.0
TOTAL,0.00,155.0,156.0,0.00,6.00,11.00,0.00,1.00,1.00,0.00,50.00,35.00,0.00,5.00,1.00,1.00,2882.0,2967.0,0.00,7.00,0.00,6278.0
