AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,6.980,4.760,0.00,0.00,16.87,9.760,12.04
25-29,0.00,6.780,0.00,0.00,0.00,16.78,7.410,11.97
30-34,0.00,8.130,0.00,0.00,50.00,27.95,37.04,22.49
35-39,0.00,12.93,0.00,0.00,20.00,30.00,5.880,22.93
40-44,0.00,17.82,0.00,0.00,0.00,31.48,6.670,26.40
45-49,0.00,19.84,0.00,0.00,0.00,31.34,33.33,27.23
50-54,20.00,23.13,0.00,100.0,0.00,42.38,27.27,35.34
55-59,0.00,29.11,33.33,0.00,0.00,47.06,7.690,40.69
60-64,50.00,29.32,33.33,0.00,0.00,46.10,14.29,39.91
65-OVER,0.00,38.22,0.00,0.00,25.00,50.78,44.00,47.26
TOTAL,9.520,21.12,7.950,25.00,13.04,38.04,20.27,31.70
