AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,50.00,0.00,10.00,0.00,0.00,9.75,10.00,9.64
25-29,0.00,6.45,0.00,0.00,0.00,11.82,7.50,11.25
30-34,0.00,15.00,0.00,0.00,0.00,20.87,2.38,19.40
35-39,0.00,9.52,0.00,0.00,0.00,22.42,0.00,21.01
40-44,0.00,4.76,0.00,0.00,0.00,27.70,7.14,26.23
45-49,50.00,18.18,0.00,0.00,0.00,29.34,6.67,28.28
50-54,0.00,37.93,0.00,0.00,0.00,28.63,24.14,28.66
55-59,0.00,24.00,0.00,50.00,0.00,35.36,21.43,34.37
60-64,100.0,31.03,0.00,0.00,0.00,37.11,24.00,36.54
65-OVER,50.00,31.15,14.29,0.00,0.00,40.03,14.29,39.19
TOTAL,44.44,20.58,5.26,16.67,0.00,28.53,10.93,27.46
