PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
88888,0.00,42.86,66.67,0.00,200.0,100.0,inf00,52.17
99999,0.00,0.00,0.00,0.00,100.0,0.00,0.00,2.270
AA,11.43,35.13,4.170,0.00,25.00,49.00,20.57,34.89
AB,33.33,29.41,23.81,0.00,33.33,38.64,38.89,37.85
AD,22.86,59.57,47.62,0.00,30.43,52.52,37.50,50.98
AE,44.12,47.76,46.15,0.00,39.29,56.26,37.16,54.01
AF,0.00,23.17,30.77,0.00,0.00,40.80,12.00,23.42
AG,27.54,31.61,30.00,50.00,32.43,48.10,30.34,43.72
AH,17.25,32.55,27.54,0.00,28.99,42.98,23.62,36.77
AI,34.55,31.74,32.65,0.00,44.90,44.93,27.06,39.69
BB,39.66,29.92,43.14,0.00,28.26,46.97,36.07,38.93
BC,19.32,20.64,25.35,0.00,38.10,35.69,23.37,32.22
BD,31.46,34.38,38.89,0.00,18.75,53.84,27.36,49.59
BE,24.75,18.39,17.27,14.29,12.50,37.97,20.39,30.46
BF,14.63,26.61,18.97,0.00,17.39,53.81,21.00,38.50
BG,20.29,29.27,42.25,0.00,30.91,41.33,24.84,37.52
BH,12.35,22.02,33.33,50.00,23.21,53.27,25.27,40.80
BI,19.18,26.40,36.11,66.67,23.08,38.33,22.98,35.07
BJ,25.00,37.82,11.11,0.00,24.24,39.44,23.18,36.55
BL,22.22,37.93,14.29,0.00,31.58,36.36,19.20,36.29
BM,3.030,28.80,12.50,0.00,17.31,24.79,11.74,26.97
BR,28.12,31.14,51.16,33.33,38.78,44.10,33.57,37.23
CA,0.00,29.53,7.690,0.00,15.38,26.98,10.22,27.98
CB,0.00,33.48,10.00,0.00,17.39,33.33,23.48,32.37
CC,0.00,22.05,25.00,0.00,5.560,10.26,10.89,20.68
CD,30.00,33.66,8.330,33.33,29.63,37.14,13.67,32.21
CE,9.260,21.81,24.77,0.00,34.72,38.04,18.79,29.15
CF,20.00,32.24,12.00,0.00,20.69,49.76,18.02,32.07
CG,33.33,35.91,0.00,0.00,20.59,26.53,24.87,34.76
CH,24.68,19.64,22.22,0.00,14.63,38.10,25.00,28.99
CI,46.24,46.31,27.27,0.00,41.67,50.38,42.15,48.80
CJ,17.36,27.57,31.34,33.33,31.25,37.41,29.65,33.88
CK,9.450,14.25,7.410,7.690,12.82,37.48,11.27,16.57
CL,0.00,32.49,0.00,0.00,14.29,52.27,18.60,31.85
CM,0.00,22.29,0.00,0.00,19.05,36.84,12.42,21.59
CO,19.44,23.17,14.63,33.33,22.73,33.93,20.82,29.56
CP,0.00,33.45,10.53,50.00,41.67,41.75,14.86,32.38
CQ,33.33,20.43,9.090,40.00,30.77,36.38,16.22,22.57
CR,50.00,24.45,8.330,0.00,17.65,25.93,12.50,23.60
CS,15.38,35.60,35.71,0.00,15.38,37.50,16.87,34.02
CT,0.00,7.660,22.22,0.00,0.00,25.00,6.100,8.400
CU,26.09,9.360,7.690,0.00,20.51,36.07,15.31,16.01
CV,44.44,46.55,37.50,0.00,34.88,52.23,34.58,49.87
CW,21.21,40.10,37.50,0.00,24.00,51.16,34.76,48.01
CZ,19.19,20.26,16.67,0.00,25.00,43.28,26.25,36.90
DA,10.10,20.73,19.64,20.00,13.85,36.13,15.22,24.05
DB,12.57,23.78,23.58,0.00,26.09,45.75,22.88,33.13
DC,18.85,18.73,15.50,50.00,21.67,34.11,16.78,26.03
DE,13.04,30.09,20.69,50.00,13.51,43.25,16.00,30.12
DF,15.24,19.37,24.71,33.33,31.58,32.98,17.94,27.41
DG,18.97,27.03,36.84,0.00,45.45,53.32,30.58,50.00
DH,8.850,15.89,20.29,0.00,13.51,34.53,22.99,29.36
DI,21.13,52.38,35.14,0.00,16.00,53.95,29.61,50.53
EA,19.05,26.06,37.21,100.0,44.83,39.90,22.36,30.54
EC,10.89,28.04,32.04,25.00,26.53,52.41,33.33,43.44
EE,38.46,34.47,50.82,100.0,43.28,50.08,36.46,47.58
EF,10.80,22.96,28.92,50.00,21.28,49.53,25.27,36.58
EG,27.78,24.82,31.03,60.00,12.50,35.62,22.67,33.06
ER,10.64,13.77,12.20,50.00,3.330,29.69,18.95,23.59
FA,0.00,20.36,9.090,0.00,5.080,16.90,11.80,19.27
FB,32.50,48.53,48.39,0.00,22.58,53.12,39.22,51.12
FC,0.00,28.50,50.00,0.00,10.00,39.02,21.26,28.07
FE,33.33,38.29,0.00,0.00,17.24,33.33,18.98,36.60
FG,33.33,36.37,20.00,0.00,25.00,29.51,26.01,35.19
FJ,0.00,26.58,20.00,0.00,36.36,36.36,7.580,25.54
FK,0.00,34.76,33.33,0.00,13.64,30.77,14.68,33.14
FL,100.0,24.52,28.57,50.00,8.700,26.00,12.80,23.64
FM,21.88,26.84,13.33,0.00,12.50,41.67,14.68,26.79
GA,32.61,27.45,15.22,50.00,30.00,45.72,31.91,40.15
GB,6.250,30.26,23.08,0.00,20.00,50.00,13.00,30.07
GC,31.25,30.23,37.50,33.33,27.03,39.69,23.25,31.27
GD,14.62,20.85,19.05,25.00,16.87,32.90,13.84,26.34
GF,0.00,23.78,6.250,50.00,8.330,29.57,11.64,22.82
HA,8.810,25.59,17.65,0.00,15.79,42.98,12.73,25.20
HB,17.50,20.54,20.56,16.67,21.25,44.32,16.23,32.16
HC,14.96,24.12,23.61,0.00,24.62,48.97,26.85,39.88
HF,19.69,18.09,32.18,11.11,22.62,43.73,15.45,29.39
HG,35.29,49.78,22.22,100.0,37.14,60.00,39.58,54.51
HH,0.00,30.05,25.00,0.00,17.24,28.26,18.26,29.10
HI,21.55,25.82,31.34,0.00,17.95,38.49,23.11,32.45
IA,13.13,24.21,30.43,0.00,14.58,48.60,11.58,29.52
IB,3.970,18.02,12.50,20.00,8.820,40.54,11.11,20.16
JA,27.78,41.67,45.45,0.00,33.33,48.20,32.26,46.36
