AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,8.20,0.00,0.00,7.69,8.76,4.44,7.05
25-29,0.00,1.50,0.00,0.00,0.00,5.02,3.64,3.42
30-34,0.00,1.42,0.00,0.00,0.00,5.56,5.88,3.95
35-39,0.00,6.30,0.00,0.00,0.00,5.84,3.85,5.29
40-44,0.00,8.41,4.55,0.00,0.00,11.90,18.18,10.45
45-49,0.00,18.70,0.00,0.00,25.00,11.73,13.64,13.83
50-54,0.00,27.50,0.00,0.00,0.00,30.53,75.00,29.02
55-59,0.00,21.05,0.00,0.00,0.00,27.78,40.00,25.21
60-64,0.00,47.27,0.00,0.00,0.00,34.13,0.00,37.30
65-OVER,0.00,38.46,0.00,0.00,33.33,36.47,27.27,36.06
TOTAL,0.00,14.79,0.50,0.00,4.17,15.70,9.25,13.75
