PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
BLACKROCK,40.12,43.81,0.00,42.13
BROOKS,49.75,49.81,0.00,49.76
EUROPE,41.84,48.08,0.00,45.21
FAYETTEVILLE EAST,34.99,37.77,0.00,36.60
FAYETTEVILLE WEST,33.24,38.50,33.33,36.22
FLINT,39.82,43.03,50.00,41.51
HOPEFUL,42.49,47.47,33.33,45.15
MORNING CREEK,42.34,43.87,0.00,43.14
RAREOVER,44.19,44.07,0.00,44.10
SANDY CREEK,40.42,41.01,25.00,40.72
SHAKERAG EAST,38.17,42.51,50.00,40.46
SHAKERAG WEST,46.08,46.44,0.00,46.20
STARRSMILL,42.54,44.48,0.00,43.51
WHITEWATER,40.45,45.25,0.00,42.88
WOOLSEY,49.12,49.65,0.00,49.39
MCINTOSH,38.39,44.16,50.00,41.44
OAK GROVE,41.64,42.39,0.00,41.97
KEDRON,30.31,30.61,0.00,30.45
ABERDEEN,43.08,42.68,33.33,42.85
WINDGATE,47.25,48.62,0.00,48.00
FLAT CREEK,32.94,36.77,0.00,35.04
BRAELINN,45.71,47.58,0.00,46.68
KENWOOD,36.77,47.29,0.00,42.40
BANKS,39.89,41.31,0.00,40.66
HARPS CROSSING,49.33,47.31,0.00,48.25
WILLOW POND,40.60,41.34,0.00,40.98
DOGWOOD,46.44,48.25,0.00,47.38
OAK RIDGE,42.02,46.85,100.0,44.56
JEFF DAVIS,30.31,35.15,40.00,33.24
MURPHY,40.04,43.59,25.00,41.88
FIELDING RIDGE,38.18,40.60,33.33,39.42
WILLOWBEND,39.87,41.45,66.67,40.75
CAMP CREEK,43.32,42.10,50.00,42.67
RISING STAR,37.93,38.79,50.00,38.40
SPRING HILL,38.07,40.45,37.50,39.33
ANTIOCH,43.78,46.80,0.00,45.28
99999,0.00,0.00,0.00,0.00
TOTAL,40.56,42.76,28.77,41.72
