PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
SUGAR VALLEY,41.37,37.34,0.00,39.29
PLAINVILLE,34.79,31.92,0.00,33.29
SONORAVILLE,38.16,34.64,0.00,36.33
PINE CHAPEL,37.86,33.33,0.00,35.53
OOSTANAULA,41.24,38.46,0.00,39.80
OAKMAN,32.48,31.46,0.00,31.97
GORDON COUNTY,31.70,28.93,0.00,30.24
CALHOUN CITY,32.97,31.94,0.00,32.39
LILY POND,37.73,35.16,0.00,36.38
FAIRMOUNT,38.92,37.52,0.00,38.20
RED BUD,35.28,33.47,0.00,34.34
RESACA,38.86,33.81,0.00,36.22
99999,0.00,25.00,0.00,17.65
TOTAL,35.37,32.86,0.00,34.04
