PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
TARBORO,50.00,26.63,50.00,0.00,0.00,37.20,22.22,33.33
WAVERLY,0.00,26.18,10.00,0.00,25.00,39.75,38.89,36.45
WOODBINE,0.00,26.83,7.69,0.00,20.00,34.27,22.82,30.31
BROWNTOWN,0.00,10.53,0.00,0.00,0.00,30.11,25.20,27.89
HARRIETTS BLUFF,0.00,24.56,27.27,100.0,13.33,34.12,16.98,30.84
WEST KINGSLAND,21.05,11.17,4.88,0.00,13.04,29.69,13.79,23.90
NORTH KINGSLAND,20.00,18.91,25.00,0.00,18.75,25.41,13.39,21.11
KINGSLAND,19.05,13.44,4.88,0.00,5.26,23.57,14.13,19.38
EAST KINGSLAND,15.69,18.89,12.16,14.29,9.18,25.72,20.06,22.77
NORTH ST MARYS,7.14,7.16,4.71,0.00,16.67,16.68,8.65,12.28
MARY LEE CLARK,12.50,20.17,10.00,0.00,6.82,25.38,14.66,21.88
SOUTH ST MARYS,15.79,21.02,5.88,0.00,13.04,33.38,22.90,29.45
MUSH BLUFF,8.33,15.04,18.99,0.00,22.50,30.21,17.59,25.31
WEST SAINT MARYS,13.04,22.04,17.65,100.0,10.71,40.25,30.21,37.12
88888,0.00,0.00,0.00,0.00,0.00,33.33,0.00,16.67
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL,14.64,18.34,11.48,10.71,12.53,30.03,18.49,25.52
