PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
1A,20.00,32.43,38.46,0.00,25.00,37.36,31.20,36.48
1B,0.00,18.38,20.00,25.00,12.50,33.13,16.67,30.97
1C,16.67,18.75,28.57,0.00,16.67,36.02,29.33,34.16
1D,0.00,23.88,9.09,0.00,0.00,39.90,21.32,37.38
2A,10.00,27.00,28.00,0.00,12.50,38.11,20.21,35.61
2B,25.00,20.39,8.33,0.00,23.08,34.35,17.44,30.68
2C,5.88,16.85,40.00,0.00,9.09,37.21,22.26,33.39
3A,100.0,15.46,25.00,0.00,50.00,35.23,10.39,30.11
3B,0.00,20.09,66.67,0.00,0.00,39.69,14.29,31.70
3C,50.00,18.35,0.00,0.00,16.67,37.00,15.65,31.71
3D,16.67,23.01,25.00,33.33,0.00,34.54,14.94,30.75
4A,14.29,16.24,10.34,50.00,0.00,32.64,12.86,29.09
4B,50.00,22.41,12.00,0.00,20.00,33.73,10.26,29.18
4C,60.00,21.32,12.50,0.00,15.79,27.98,16.53,26.24
5A,28.57,23.29,11.54,50.00,42.86,32.54,17.95,30.32
5B,3.33,20.83,13.21,50.00,18.18,30.10,18.23,26.77
5C,12.50,19.78,36.84,100.0,7.69,41.22,23.88,36.36
TOTAL,15.95,20.30,19.19,26.92,17.57,34.69,18.40,31.28
