PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
TARBORO,35.49,31.47,0.00,33.33
WAVERLY,35.63,37.22,0.00,36.45
WOODBINE,30.04,30.56,0.00,30.31
BROWNTOWN,29.18,26.61,0.00,27.89
HARRIETTS BLUFF,32.09,29.64,100.0,30.84
WEST KINGSLAND,24.29,23.56,0.00,23.90
NORTH KINGSLAND,21.72,20.66,0.00,21.11
KINGSLAND,20.38,18.58,0.00,19.38
EAST KINGSLAND,23.64,22.09,0.00,22.77
NORTH ST MARYS,14.14,11.01,0.00,12.28
MARY LEE CLARK,23.83,20.45,0.00,21.88
SOUTH ST MARYS,30.33,28.65,0.00,29.45
MUSH BLUFF,26.48,24.34,0.00,25.31
WEST SAINT MARYS,38.14,36.12,100.0,37.12
88888,0.00,50.00,0.00,16.67
99999,0.00,0.00,0.00,0.00
TOTAL,26.75,24.49,50.00,25.52
