PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
WYATT,0.00,36.00,37.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,9.00,10.00,0.00,0.00,0.00,0.00,613.0,593.0,0.00,141.0,110.0,1552.0
MONTICELLO,0.00,34.00,42.00,0.00,4.00,4.00,0.00,1.00,0.00,0.00,12.00,11.00,0.00,3.00,5.00,1.00,1289.0,1144.0,0.00,784.0,602.0,3936.0
MARTIN & BURNEY,0.00,78.00,81.00,0.00,7.00,2.00,0.00,1.00,0.00,0.00,14.00,9.00,0.00,4.00,3.00,1.00,1506.0,1436.0,0.00,51.00,41.00,3234.0
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,2.00
TOTAL,0.00,148.0,160.0,0.00,12.00,7.00,0.00,3.00,0.00,0.00,35.00,30.00,0.00,7.00,8.00,2.00,3408.0,3174.0,0.00,976.0,754.0,8724.0
