AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,5.920,5.560,0.00,0.00,19.92,15.49,14.32
25-29,0.00,6.280,0.00,0.00,0.00,16.56,7.410,12.46
30-34,0.00,8.710,20.00,0.00,100.0,25.24,11.54,18.89
35-39,50.00,14.48,6.670,0.00,0.00,30.99,23.33,24.63
40-44,0.00,13.51,28.57,0.00,0.00,38.60,21.05,30.02
45-49,28.57,17.05,22.22,0.00,50.00,40.92,22.22,32.94
50-54,20.00,22.97,16.67,0.00,0.00,43.33,26.32,37.07
55-59,33.33,28.38,50.00,100.0,0.00,49.00,31.82,42.00
60-64,0.00,36.92,0.00,0.00,50.00,52.93,44.44,47.73
65-OVER,33.33,32.34,20.00,0.00,25.00,55.26,47.17,50.16
TOTAL,17.95,20.10,12.36,50.00,13.79,42.12,25.00,34.89
