PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
SCOTTSBORO,30.79,31.24,0.00,31.03
NORTH BALDWIN,43.98,42.21,0.00,43.01
WEST BALDWIN,39.89,39.25,0.00,39.55
EAST HARDWICK,21.12,23.36,50.00,22.46
WEST HARDWICK,26.84,34.58,0.00,31.41
COOPERS,42.04,37.47,0.00,39.58
SOUTH MILLEDGEVILLE,24.89,28.23,0.00,26.94
CITY HALL ANNEX,21.41,25.93,0.00,23.72
BODDIE,24.20,26.73,0.00,25.77
COURTHOUSE,25.00,31.04,0.00,28.68
FIRE DEPT,30.44,35.60,0.00,33.40
NORTH MILLEDGEVILLE,43.31,40.91,100.0,41.96
MERIWEATHER,38.90,37.64,0.00,38.24
EAST BALDWIN,34.81,36.10,0.00,35.51
TOTAL,34.33,35.21,50.00,34.83
