ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,35.67,36.17,0.00,35.90
2016 Primary,16.29,14.41,0.00,15.30
2016 Primary Runoff,10.54,10.41,0.00,10.46
2016 General,63.45,67.34,80.00,65.48
2018 Primary,16.48,13.55,25.00,14.99
2018 Primary Runoff,8.63,6.21,0.00,7.37
2018 General,58.02,60.88,33.33,59.45
