ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential Primary,12.50,14.75,25.00,50.00,17.39,32.14,24.10,30.75
2016 Primary,0.00,1.54,4.76,0.00,4.00,13.31,5.47,12.05
2016 Primary Runoff,2.33,0.00,0.00,0.00,0.00,8.42,2.97,7.55
2016 General,33.33,45.71,51.85,33.33,51.85,61.36,53.27,59.74
2018 Primary,3.45,4.55,9.68,0.00,0.00,10.26,4.23,9.12
2018 Primary Runoff,0.00,1.52,3.23,0.00,3.70,7.14,1.88,6.13
2018 General,46.67,46.48,40.62,33.33,39.29,55.72,39.10,52.79
