ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential Primary,5.56,14.94,5.76,33.33,20.00,23.66,13.16,19.72
2016 Primary,6.78,3.12,1.36,0.00,1.96,12.55,5.20,9.26
2016 Primary Runoff,3.39,1.56,0.68,0.00,0.00,6.95,2.89,5.07
2016 General,39.68,50.09,32.52,40.00,26.92,48.98,40.61,46.84
2018 Primary,4.41,11.23,1.12,0.00,6.98,8.90,2.42,7.90
2018 Primary Runoff,1.47,3.40,0.56,0.00,2.33,6.67,1.21,4.88
2018 General,34.72,47.82,24.47,37.50,40.00,44.19,29.83,41.72
