ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,29.95,29.21,23.08,29.55
2016 Primary,16.58,16.47,0.00,16.51
2016 Primary Runoff,7.68,8.09,0.00,7.89
2016 General,58.34,59.97,53.85,59.21
2018 Primary,12.94,12.15,9.38,12.52
2018 Primary Runoff,9.40,7.57,3.12,8.42
2018 General,52.05,52.83,40.54,52.45
