ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential Primary,20.00,0.00,40.00,50.00,33.33,35.68,31.58,35.45
2016 Primary,20.00,0.00,0.00,50.00,33.33,25.62,16.22,25.17
2016 Primary Runoff,0.00,0.00,0.00,50.00,0.00,7.60,8.11,7.60
2016 General,60.00,0.00,50.00,50.00,33.33,63.80,56.82,63.27
2018 Primary,0.00,0.00,0.00,0.00,0.00,20.67,10.67,19.67
2018 Primary Runoff,0.00,0.00,0.00,0.00,0.00,16.35,9.33,15.61
2018 General,83.33,0.00,20.00,0.00,50.00,54.74,48.00,54.17
