AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.00,4.24,0.00,5.88,7.99,4.22,7.19
25-29,0.00,0.00,2.22,0.00,0.00,5.84,1.92,5.27
30-34,0.00,0.00,0.00,0.00,0.00,10.44,4.04,9.32
35-39,0.00,50.00,8.00,0.00,0.00,12.10,15.07,12.20
40-44,0.00,0.00,7.14,0.00,33.33,14.34,14.49,14.18
45-49,16.67,0.00,11.11,0.00,33.33,17.43,7.50,16.71
50-54,25.00,0.00,12.50,0.00,16.67,21.60,10.38,20.69
55-59,0.00,0.00,11.76,0.00,40.00,24.23,11.02,23.18
60-64,20.00,25.00,25.00,0.00,42.86,30.13,15.32,29.30
65-OVER,10.00,20.00,17.14,33.33,25.00,36.26,23.26,35.38
TOTAL,7.84,10.53,7.06,5.56,16.05,24.16,12.68,22.98
