PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
RICEBORO YOUTH,26.11,31.77,100.0,29.29
LYMAN HALL SCHOOL,13.94,13.41,0.00,13.61
LEWIS FRASIER SCHOOL,17.58,18.16,0.00,17.88
MEMORIAL DR. EAST,12.06,11.21,0.00,11.54
BUTTON GWINNETT,0.38,0.65,0.00,0.52
TOWN OF ALLENHURST,18.20,19.75,0.00,19.04
HINESVILLE,18.50,20.12,0.00,19.44
LIBERTY COUNTY,19.53,21.54,0.00,20.58
WALTHOURVILLE,12.17,13.86,0.00,13.13
FLEMING WEST,24.17,24.14,0.00,24.15
FLEMING EAST,19.01,18.66,0.00,18.83
GUM BRANCH,14.21,13.70,0.00,13.93
HINESVILLE LODGE 271,13.84,13.92,0.00,13.87
99999,0.00,0.00,0.00,0.00
TOTAL,15.18,15.85,3.57,15.54
