AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,2.36,0.00,0.00,12.50,4.08,2.45,3.10
25-29,0.00,2.02,2.33,0.00,0.00,4.53,2.53,3.17
30-34,0.00,5.03,0.00,0.00,0.00,7.61,0.00,6.01
35-39,50.00,6.04,4.76,0.00,0.00,7.61,7.89,6.90
40-44,0.00,10.60,6.25,0.00,33.33,8.39,2.56,9.14
45-49,0.00,14.65,9.09,0.00,0.00,9.77,6.38,11.57
50-54,0.00,14.61,8.33,0.00,0.00,13.23,5.26,13.24
55-59,0.00,18.32,0.00,0.00,0.00,15.94,6.38,16.30
60-64,0.00,24.25,0.00,0.00,0.00,18.53,9.43,20.09
65-OVER,0.00,26.01,7.69,0.00,14.29,22.52,9.00,22.95
TOTAL,2.08,12.73,2.84,0.00,5.19,13.83,4.88,12.82
