PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
88888,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00
CATAULA,20.42,20.09,0.00,20.25
ELLERSLIE,20.89,19.34,0.00,20.08
GOODMAN,27.62,25.85,0.00,26.62
HAMILTON,22.88,23.56,0.00,23.23
LOWER 19TH,25.00,23.45,33.33,24.23
MULBERRY GROVE,21.54,18.26,50.00,19.89
PINE MOUNTAIN VALLEY,27.92,28.37,0.00,28.15
SKINNER,24.32,20.37,0.00,22.13
UPPER 19TH,23.18,21.72,0.00,22.37
VALLEY PLAINS,23.01,24.32,0.00,23.67
WAVERLY HALL,19.19,21.38,0.00,20.35
WHITESVILLE,32.29,27.74,0.00,29.88
TOTAL,23.00,22.00,15.79,22.48
