PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
SYLVANIA,23.50,23.89,0.00,23.72
HUNTERS,18.37,22.98,0.00,20.88
NEWINGTON,15.10,19.48,0.00,17.38
JENK HILL FIRE STA,18.24,25.58,0.00,22.09
ROCKY FORD,25.11,25.30,0.00,25.21
BAY BRANCH,18.14,16.86,0.00,17.45
HILTONIA,22.19,22.76,0.00,22.48
SCREVEN REC. DEPT.,21.35,25.00,0.00,23.26
GREENHILL CHURCH,19.90,19.62,0.00,19.73
SR CITIZENS CENTER,18.70,26.74,100.0,23.42
JACKSON FIRE STATION,20.74,23.94,0.00,22.34
FOY'S STORE,17.09,31.01,0.00,24.39
88888,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00
TOTAL,19.71,23.09,25.00,21.53
