AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,3.020,7.690,0.00,0.00,6.190,1.870,4.180
25-29,0.00,2.520,0.00,0.00,20.00,3.340,1.020,2.820
30-34,0.00,4.760,0.00,0.00,0.00,6.170,1.370,5.160
35-39,0.00,8.350,11.11,0.00,0.00,7.050,7.140,7.570
40-44,0.00,6.700,0.00,0.00,25.00,10.16,5.710,8.350
45-49,0.00,8.670,0.00,0.00,0.00,11.81,8.890,10.34
50-54,0.00,15.98,0.00,0.00,16.67,16.53,14.75,16.18
55-59,0.00,17.39,0.00,100.0,50.00,20.74,9.880,19.10
60-64,50.00,24.47,0.00,0.00,25.00,28.27,11.84,26.02
65-OVER,0.00,31.40,0.00,0.00,0.00,34.91,19.40,33.13
TOTAL,7.690,14.58,3.390,9.090,11.54,19.90,7.760,17.02
