AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,8.87,0.00,0.00,0.00,6.86,0.88,5.97
25-29,0.00,8.90,0.00,50.00,0.00,4.71,2.00,5.51
30-34,0.00,8.11,0.00,0.00,0.00,8.31,2.27,7.59
35-39,0.00,6.80,0.00,0.00,0.00,12.53,3.57,10.83
40-44,33.33,14.00,0.00,0.00,0.00,14.76,10.34,14.31
45-49,0.00,17.54,0.00,0.00,0.00,15.51,11.43,15.53
50-54,0.00,33.33,0.00,0.00,0.00,19.38,7.69,21.40
55-59,0.00,29.41,0.00,0.00,0.00,21.09,7.32,22.07
60-64,0.00,32.50,0.00,0.00,20.00,25.69,9.68,26.34
65-OVER,20.00,37.53,0.00,0.00,50.00,35.79,10.42,35.40
TOTAL,9.52,23.84,0.00,16.67,7.50,20.00,5.45,19.71
