PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
SENOIA,4.00,16.39,8.89,0.00,10.00,16.16,9.89,15.20
MORELAND,0.00,16.56,18.75,0.00,14.29,19.22,9.09,17.92
PINE ROAD,0.00,18.97,9.52,100.0,0.00,19.14,5.18,17.41
DRESDEN,33.33,28.00,16.67,0.00,0.00,21.24,12.22,20.55
NEWNAN,11.11,11.34,2.17,0.00,5.88,21.22,4.78,14.56
SHARPSBURG,3.03,17.73,3.45,0.00,2.70,17.68,11.50,16.50
FISCHER ROAD,5.36,29.23,8.62,0.00,5.26,17.07,6.92,16.38
CEDAR CREEK,3.57,24.33,11.59,0.00,4.76,19.00,8.10,17.91
GRANTVILLE,16.67,15.79,6.06,33.33,13.33,13.35,6.53,12.93
HARALSON,18.18,16.57,0.00,0.00,18.18,16.86,9.42,15.89
WELCOME,0.00,17.96,11.11,0.00,8.70,20.51,9.25,18.76
PANTHER CREEK,0.00,13.47,6.67,0.00,6.25,16.86,8.77,15.29
RAYMOND,40.00,13.48,2.38,0.00,15.38,20.43,8.98,18.33
TURIN,13.33,21.13,4.65,0.00,5.56,16.72,6.90,15.81
SMOKEY ROAD,0.00,10.48,2.33,0.00,0.00,17.57,6.04,13.48
CENTRAL,4.00,9.25,2.22,0.00,11.90,8.83,4.67,8.16
ARTS CENTRE,0.93,20.86,6.27,20.00,4.85,15.61,11.11,14.93
GREENTOP,3.85,14.14,0.00,0.00,17.65,20.20,6.83,17.03
EXPO CENTER,0.00,8.52,0.00,0.00,0.00,27.71,6.99,22.81
WHITE OAK,2.38,21.11,3.85,0.00,10.00,15.96,6.16,14.77
MADRAS,3.64,23.62,6.41,0.00,17.86,15.15,6.93,15.08
CANNONGATE,5.71,26.98,8.62,0.00,12.50,18.37,10.56,17.54
WESTSIDE,0.00,20.09,20.00,0.00,100.0,15.87,8.00,17.28
NORTHSIDE,11.11,18.75,5.26,0.00,13.33,24.08,8.57,21.29
THOMAS CROSSROADS,6.38,20.06,3.96,0.00,7.89,17.41,11.13,16.44
COWETA CENTRAL,20.00,17.31,4.44,0.00,0.00,24.38,10.26,21.63
JEFFERSON PARKWAY,1.49,11.90,3.49,0.00,8.91,10.13,5.22,9.33
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL,3.75,15.50,5.33,6.38,8.40,17.30,8.07,15.48
