PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
001C,7.730,16.67,6.190,4.550,7.430,15.83,11.04,14.98
002B,0.00,13.33,4.940,0.00,7.410,20.92,10.76,19.31
003C,7.140,13.44,4.040,0.00,11.48,16.93,11.16,15.40
004B,8.330,12.14,5.790,7.140,9.590,14.77,8.870,13.57
005B,2.080,10.29,6.650,0.00,4.710,17.70,6.670,14.42
006C,0.00,12.09,0.00,0.00,11.43,16.54,7.250,14.89
007B,0.00,12.11,5.170,0.00,8.000,15.77,8.240,14.04
008B,2.270,13.13,5.470,0.00,2.270,13.07,8.450,12.12
009C,1.920,15.39,5.110,0.00,5.980,16.18,8.400,14.72
010C,12.50,11.97,4.650,12.50,10.29,13.94,5.500,12.57
011B,8.570,11.39,6.380,8.330,9.230,15.30,9.090,14.07
012C,0.00,15.69,6.760,16.67,14.81,18.59,8.420,17.44
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL,5.510,13.14,5.500,4.070,7.590,16.11,8.870,14.52
