PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
ADAIRSVILLE,10.40,8.74,0.00,9.52
ALLATOONA,9.81,9.60,0.00,9.70
CARTERSVILLE EAST,11.56,11.60,0.00,11.57
CARTERSVILLE WEST,17.32,16.67,10.00,16.96
CASSVILLE,12.46,11.40,0.00,11.91
CENTER,16.10,14.19,0.00,15.09
EMERSON,14.81,16.07,0.00,15.42
EUHARLEE,12.79,11.46,0.00,12.11
FOLSOM,17.22,13.21,0.00,15.19
KINGSTON,14.82,12.56,0.00,13.67
MISSION ROAD,15.76,15.49,0.00,15.60
PINE LOG,17.46,15.31,100.0,16.40
TAYLORSVILLE,16.13,13.87,0.00,14.94
WHITE,17.94,17.51,0.00,17.72
ZENA DRIVE,9.15,8.62,0.00,8.85
WOODLAND,13.37,13.54,0.00,13.44
88888,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00
TOTAL,13.44,12.49,3.23,12.94
