PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
LA FAYETTE,13.49,11.27,0.00,12.28
WALNUT GROVE,13.90,10.63,0.00,12.27
ROCK SPRING,12.41,12.00,0.00,12.19
ARMUCHEE VALLEY,14.98,13.68,0.00,14.29
MOUNTAIN,13.16,13.21,0.00,13.19
CHATTANOOGA VALLEY,12.53,11.98,0.00,12.23
KENSINGTON,15.84,15.83,0.00,15.82
ROSSVILLE,11.13,8.84,0.00,9.85
CHICKAMAUGA,14.22,13.27,0.00,13.71
FAIRYLAND,11.94,13.23,0.00,12.61
FAIRVIEW,9.69,8.39,0.00,8.97
88888,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00
TOTAL,12.78,11.51,0.00,12.10
