AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,4.350,10.42,0.00,0.00,9.000,2.480,7.580
25-29,0.00,0.00,0.00,0.00,0.00,9.400,5.880,8.270
30-34,0.00,0.00,0.00,0.00,0.00,11.91,7.580,11.03
35-39,0.00,0.00,15.38,0.00,25.00,15.64,4.000,14.27
40-44,14.29,5.560,0.00,0.00,0.00,22.36,5.170,20.31
45-49,0.00,0.00,6.250,0.00,0.00,25.06,9.380,23.08
50-54,33.33,10.00,10.00,0.00,0.00,26.03,10.00,24.39
55-59,20.00,11.11,0.00,0.00,0.00,30.83,9.260,28.85
60-64,0.00,15.00,0.00,0.00,16.67,34.86,8.890,32.25
65-OVER,0.00,39.39,0.00,0.00,50.00,45.62,18.81,43.78
TOTAL,4.650,10.80,5.230,0.00,11.11,26.70,7.490,24.28
