AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,1.650,2.630,0.00,0.00,4.960,2.560,3.160
25-29,0.00,1.450,0.00,0.00,0.00,8.950,5.970,5.000
30-34,0.00,3.570,5.880,0.00,0.00,17.63,6.670,10.74
35-39,33.33,4.210,9.090,0.00,25.00,16.41,10.87,11.39
40-44,0.00,7.420,0.00,0.00,0.00,15.98,0.00,11.42
45-49,0.00,10.86,21.43,0.00,0.00,16.74,9.090,14.05
50-54,0.00,11.04,0.00,0.00,75.00,19.11,11.63,15.79
55-59,50.00,17.96,0.00,0.00,0.00,27.58,14.00,23.36
60-64,100.0,22.55,0.00,0.00,0.00,32.18,13.64,27.41
65-OVER,0.00,23.15,11.11,0.00,12.50,34.81,19.09,30.51
TOTAL,12.90,11.43,5.190,0.00,10.00,23.50,10.18,17.98
