AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,5.36,0.00,0.00,0.00,5.76,0.00,5.06
25-29,0.00,1.65,0.00,0.00,0.00,5.88,0.00,4.43
30-34,0.00,3.05,0.00,0.00,0.00,10.30,0.00,7.31
35-39,0.00,3.97,0.00,0.00,0.00,9.67,0.00,7.64
40-44,0.00,9.52,0.00,0.00,100.0,9.40,0.00,9.41
45-49,0.00,12.12,0.00,0.00,0.00,13.41,0.00,12.86
50-54,0.00,16.79,0.00,0.00,0.00,18.88,0.00,17.44
55-59,0.00,14.17,33.33,0.00,50.00,23.38,12.50,20.86
60-64,0.00,25.45,0.00,0.00,100.0,20.78,14.29,21.88
65-OVER,100.0,26.32,0.00,0.00,33.33,29.05,19.05,28.37
TOTAL,6.67,13.57,2.13,0.00,30.77,17.61,4.55,16.17
