AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,31.58,0.00,0.00,33.33,17.24,16.67,26.04
25-29,0.00,27.66,0.00,0.00,0.00,9.090,0.00,20.27
30-34,0.00,27.50,25.00,0.00,0.00,29.63,0.00,27.40
35-39,0.00,24.14,0.00,0.00,0.00,33.33,16.67,26.60
40-44,0.00,35.42,0.00,0.00,0.00,30.77,0.00,32.89
45-49,0.00,42.00,0.00,0.00,0.00,70.37,25.00,50.62
50-54,0.00,54.29,0.00,0.00,0.00,46.51,0.00,50.43
55-59,0.00,53.42,0.00,0.00,0.00,53.49,0.00,52.10
60-64,0.00,61.76,0.00,0.00,0.00,64.44,25.00,61.54
65-OVER,0.00,61.86,0.00,0.00,100.0,61.73,36.36,61.04
TOTAL,0.00,47.23,16.67,0.00,40.00,50.20,18.60,47.20
