AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,2.62,3.60,2.73,3.12,2.44,4.00,2.38,3.33
25-29,2.44,3.41,2.45,0.00,3.03,2.62,2.14,3.15
30-34,1.00,5.41,3.16,0.00,5.97,4.34,3.12,4.93
35-39,2.66,8.20,2.81,7.14,4.45,5.59,4.20,7.27
40-44,2.45,11.68,3.39,0.00,6.45,7.54,7.99,10.55
45-49,2.74,15.80,6.12,0.00,4.79,11.14,8.41,14.06
50-54,2.36,18.98,5.21,15.38,6.90,13.93,9.76,16.90
55-59,6.92,23.19,4.93,8.33,9.58,18.67,12.55,20.80
60-64,6.35,30.00,8.66,0.00,18.92,23.19,12.09,26.19
65-OVER,6.53,33.88,11.94,6.67,17.91,30.14,15.82,29.47
TOTAL,3.81,13.84,4.10,3.74,6.77,18.46,6.80,12.96
