AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,3.230,4.110,3.240,0.00,1.040,5.230,3.450,4.590
25-29,0.00,4.000,4.550,0.00,1.490,4.440,2.270,4.080
30-34,4.690,6.510,3.700,9.090,2.940,6.890,5.430,6.540
35-39,0.00,9.120,4.170,11.11,4.760,9.460,7.780,8.960
40-44,5.620,12.28,6.840,0.00,6.250,12.51,8.580,11.82
45-49,4.710,14.92,6.210,16.67,10.10,14.36,10.05,13.85
50-54,13.73,18.31,6.670,0.00,18.57,17.43,11.29,16.91
55-59,5.260,19.88,8.760,0.00,18.03,21.06,11.47,19.90
60-64,12.12,24.22,9.090,0.00,12.86,26.28,14.16,24.76
65-OVER,13.33,28.63,9.900,25.00,23.73,33.05,19.36,31.08
TOTAL,5.510,13.14,5.500,4.070,7.590,16.11,8.870,14.52
