PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
IRWINVILLE,18.77,12.64,100.0,15.64
OCILLA,17.03,14.57,0.00,15.66
HOLT,21.54,18.93,0.00,20.22
99999,0.00,0.00,0.00,0.00
TOTAL,18.10,14.51,25.00,16.17
