PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
88888,0.00,0.00,0.00,0.00
BLOWING CAVE,12.61,11.37,0.00,11.91
CAIRO 4TH DISTR,11.03,14.60,25.00,13.11
CAIRO 5TH DISTR,15.76,14.24,0.00,14.84
DUNCANVILLE,15.49,17.32,0.00,16.41
HIGDON,12.40,15.49,0.00,14.05
LIMESINK,16.67,11.98,0.00,13.94
MIDWAY,12.23,12.21,0.00,12.22
PINE PARK,13.08,10.20,0.00,11.50
RAGAN,14.83,16.42,0.00,15.72
SPENCE,21.45,17.89,0.00,19.53
SPRING HILL,21.37,16.98,0.00,19.10
WHIGHAM,11.96,11.00,0.00,11.46
WOODLAND,21.92,18.85,0.00,20.29
TOTAL,15.24,14.57,12.50,14.87
