AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,14.94,3.19,0.00,0.00,5.56,1.49,6.14
25-29,0.00,3.53,4.26,0.00,0.00,4.76,0.00,4.15
30-34,0.00,4.23,0.00,0.00,0.00,6.39,0.00,5.20
35-39,0.00,8.11,6.67,0.00,0.00,9.57,0.00,8.84
40-44,0.00,18.87,8.33,0.00,33.33,7.66,0.00,9.48
45-49,0.00,29.23,7.14,0.00,0.00,12.88,11.11,15.62
50-54,0.00,25.00,6.25,0.00,0.00,15.14,0.00,16.45
55-59,0.00,21.36,12.50,0.00,50.00,21.51,0.00,21.05
60-64,0.00,33.73,18.18,0.00,0.00,31.52,0.00,31.01
65-OVER,100.0,30.69,33.33,0.00,0.00,32.06,5.26,31.31
TOTAL,50.00,20.45,5.71,0.00,13.33,17.74,1.81,16.99
