AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,2.840,4.350,0.00,0.00,6.600,7.230,4.820
25-29,0.00,4.510,0.00,0.00,25.00,5.980,5.000,5.240
30-34,0.00,4.730,0.00,0.00,0.00,3.930,3.510,4.140
35-39,0.00,5.110,0.00,0.00,100.0,6.580,1.960,5.680
40-44,0.00,5.630,0.00,0.00,0.00,7.590,5.710,6.550
45-49,0.00,11.19,18.18,0.00,0.00,14.36,7.140,12.72
50-54,0.00,11.29,15.38,0.00,0.00,15.42,13.46,13.50
55-59,0.00,14.56,16.67,0.00,0.00,18.28,10.26,16.40
60-64,15.38,19.47,0.00,0.00,16.67,20.69,19.54,20.19
65-OVER,0.00,24.96,9.090,0.00,0.00,31.42,24.58,29.85
TOTAL,3.080,11.81,6.090,0.00,8.510,21.57,14.54,18.00
