PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
MT. PLEASANT,0.00,13.79,0.00,0.00,0.00,12.95,4.35,12.50
RECOVERY,0.00,15.38,0.00,0.00,25.00,12.63,4.26,12.08
KENDRICK,0.00,10.00,0.00,0.00,0.00,12.98,8.70,11.94
CLIMAX,0.00,15.51,14.29,0.00,0.00,13.99,9.09,13.96
BRINSON,0.00,13.71,0.00,0.00,0.00,22.26,16.67,19.85
WEST BAINBRIDGE,0.00,12.50,0.00,0.00,16.67,10.69,5.68,11.15
BAINBRIDGE-COLISEUM,3.70,10.88,5.75,0.00,6.45,15.23,4.57,13.10
BDGE-FAIRGROUNDS,0.00,11.60,0.00,0.00,0.00,10.34,0.68,10.39
ATTAPULGUS,0.00,17.47,0.00,0.00,0.00,14.01,4.88,15.33
TOTAL,2.08,12.73,2.84,0.00,5.19,13.83,4.88,12.82
