PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
ABILENE BAPTIST,0.00,3.00,2.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,1.00,0.00,0.00,170.0,142.0,0.00,26.00,13.00,364.0
AUGUSTA CHRISTIAN,0.00,5.00,8.00,0.00,4.00,3.00,0.00,0.00,0.00,0.00,3.00,2.00,0.00,4.00,5.00,0.00,193.0,177.0,0.00,26.00,13.00,443.0
STEVENS CREEK ELEM,0.00,9.00,7.00,0.00,4.00,6.00,0.00,0.00,0.00,0.00,3.00,2.00,0.00,11.00,13.00,0.00,203.0,216.0,0.00,5.00,5.00,484.0
GOSPEL WATER BRANCH,0.00,8.00,11.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,6.00,1.00,186.0,181.0,0.00,30.00,29.00,460.0
GENESIS CHURCH,0.00,15.00,16.00,0.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,11.00,8.00,0.00,178.0,198.0,0.00,15.00,8.00,455.0
STEVENS CREEK,0.00,12.00,17.00,0.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,20.00,24.00,0.00,350.0,372.0,0.00,27.00,22.00,852.0
MTZ COL FIRE HDQTR.,0.00,2.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,77.00,77.00,0.00,11.00,10.00,185.0
LAKESIDE MIDDLE,0.00,5.00,5.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,4.00,0.00,103.0,116.0,0.00,29.00,17.00,287.0
MARTINEZ BAPTIST,0.00,9.00,7.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,3.00,5.00,0.00,126.0,120.0,0.00,34.00,20.00,329.0
GOLD CROSS EMS,0.00,12.00,7.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,2.00,0.00,0.00,226.0,192.0,0.00,24.00,17.00,485.0
CHURCH OF OUR SAVIOR,0.00,5.00,2.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,1.00,1.00,0.00,178.0,165.0,0.00,39.00,34.00,431.0
WEST ACRES BAPTIST,0.00,13.00,6.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,6.00,8.00,0.00,4.00,4.00,0.00,231.0,247.0,0.00,37.00,30.00,589.0
JOURNEY COMM.,0.00,9.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,183.0,219.0,0.00,8.00,10.00,434.0
WESLEY METHODIST,0.00,13.00,8.00,0.00,4.00,4.00,0.00,1.00,0.00,0.00,3.00,2.00,0.00,3.00,7.00,0.00,263.0,246.0,0.00,31.00,22.00,607.0
COL CTY MAIN LIBRARY,0.00,18.00,15.00,0.00,4.00,3.00,0.00,1.00,0.00,0.00,2.00,5.00,0.00,7.00,8.00,0.00,191.0,196.0,0.00,28.00,26.00,504.0
"CHRIST CHURCH,",0.00,10.00,10.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,4.00,2.00,0.00,4.00,6.00,0.00,190.0,198.0,0.00,21.00,11.00,458.0
BLUERIDGE ELEMENTARY,0.00,5.00,10.00,0.00,4.00,2.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,3.00,11.00,0.00,159.0,153.0,0.00,31.00,14.00,395.0
CHRIST THE KING CH,0.00,16.00,12.00,0.00,5.00,3.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,10.00,13.00,0.00,237.0,262.0,0.00,32.00,25.00,617.0
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL,2.00,454.0,445.0,0.00,82.00,74.00,0.00,7.00,7.00,0.00,98.00,104.0,0.00,160.0,151.0,2.00,7771.0,8019.0,1.00,1701.0,1202.0,20280.0
