AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,3.700,12.50,0.00,0.00,4.690,1.730,3.750
25-29,0.00,2.410,0.00,0.00,0.00,2.520,2.130,2.390
30-34,0.00,5.240,0.00,0.00,0.00,4.490,4.690,4.810
35-39,0.00,9.960,5.880,0.00,0.00,6.380,4.690,7.750
40-44,0.00,15.14,0.00,0.00,0.00,13.88,2.040,13.57
45-49,0.00,14.36,12.50,0.00,0.00,11.48,1.850,11.98
50-54,0.00,17.66,33.33,0.00,0.00,15.62,6.250,16.03
55-59,0.00,18.18,0.00,0.00,0.00,20.00,7.840,18.74
60-64,0.00,26.48,25.00,0.00,50.00,23.40,15.62,24.29
65-OVER,14.29,35.96,27.27,100.0,100.0,37.99,15.38,36.73
TOTAL,2.330,16.14,10.00,14.29,5.880,19.50,4.900,17.25
