AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,3.87,3.45,0.00,4.17,7.86,0.25,4.76
25-29,0.00,4.36,3.45,0.00,0.00,7.60,3.33,5.93
30-34,0.00,4.57,9.09,0.00,0.00,9.47,5.65,7.66
35-39,0.00,9.57,0.00,0.00,0.00,12.09,3.92,10.25
40-44,0.00,11.36,0.00,0.00,0.00,15.65,5.81,13.35
45-49,0.00,13.62,7.14,0.00,0.00,17.84,1.19,15.33
50-54,20.00,20.89,0.00,0.00,16.67,22.42,5.33,20.74
55-59,0.00,23.53,0.00,0.00,0.00,27.95,4.23,25.15
60-64,0.00,25.76,0.00,0.00,0.00,33.85,7.22,29.56
65-OVER,42.86,32.04,22.22,0.00,7.14,39.24,8.78,36.46
TOTAL,11.11,16.10,4.52,0.00,3.23,23.80,3.75,19.67
