,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,55.78,57.72,100.0,56.92
1,64.14,68.19,80.0,66.22
2,32.93,44.48,20.0,39.5
3,66.69,67.68,50.0,67.19
4,58.29,61.35,40.0,59.9
5,50.58,55.99,40.0,53.52
6,51.5,55.37,100.0,53.57
7,50.0,58.87,16.67,54.96
8,50.85,55.29,50.0,53.2
9,42.11,55.25,20.0,49.88
10,41.85,49.73,0.0,46.41
11,53.81,59.25,50.0,56.72
12,44.14,55.98,57.14,51.19
13,47.66,53.94,60.0,51.17
14,53.82,57.16,25.0,55.61
15,49.58,53.89,50.0,51.88
16,57.29,64.71,66.67,61.3
17,57.6,64.08,46.15,61.14
18,52.55,61.72,25.0,57.63
19,53.37,59.62,66.67,56.88
20,59.57,65.14,25.0,62.45
21,64.18,70.88,100.0,67.83
22,57.66,65.65,37.5,61.92
23,52.45,62.94,25.0,58.35
24,0.0,3.7,,1.71
25,3.39,0.0,0.0,1.79
26,52.7,59.11,42.11,56.21
